800, 52.19518015, 4.777777778
900, 46.13681102, -1.392405063
1000, 36.81624314, -38.9375
1100, 25.217897674627853, -37.641019744222689
1150, 19.610274149142953, -31.2675730707507
1200, 14.398844290500277, -19.504812438222046
1250, 9.9739198043674051, -14.646106963045263
1300, 5.9677403992317251, -7.8667790284415489
1325, 5.0058268883110806, -7.7093740377617586
1350, 3.879178477028002, -5.4120791884818402
1375, 2.8213442227735595, -4.7829802509598061
1400, 2.3277197279036792, -3.058747671908133
1425, 1.5045614284312083, -3.0574565147168791
1450, 1.2386491730790117, -1.230607251894769
1475, 0.99674847121151733, -4.3841891818889556
1500, 0.91418370856024755, -1.5961693589071881
